index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
137,7,24,255,26,11,0,0,2,5,0,0,73,13,20,0,0,27,14,0,6,20,1,0,0,4,7,11,0,5,0,0,2,2,6
138,7,25,493,25,11,0,0,17,27,0,0,44,23,30,0,0,90,28,0,17,14,6,0,9,22,37,32,0,20,13,0,11,4,13
139,8,1,226,50,6,0,0,0,4,0,0,28,9,0,0,0,33,0,0,5,8,5,0,0,4,2,23,0,10,29,0,1,8,1
140,8,2,290,72,14,0,0,0,7,0,0,21,12,0,0,0,39,0,0,3,24,5,0,0,7,13,33,0,7,24,0,4,5,0
141,8,3,288,63,3,0,0,1,49,0,0,31,8,0,0,0,43,0,0,6,14,4,0,0,18,13,23,0,6,0,0,5,0,1
142,8,4,241,61,7,0,0,0,9,0,0,26,5,4,0,0,22,0,0,3,4,5,0,0,9,41,10,0,3,18,0,7,1,6
143,8,5,263,34,4,0,0,3,9,0,0,18,36,9,0,0,25,0,0,12,9,5,0,0,7,20,24,0,7,28,0,3,3,7
144,8,6,293,48,7,0,0,0,15,0,0,48,7,22,0,0,36,0,0,5,10,0,0,0,11,16,17,0,2,31,0,3,7,8
145,8,7,321,43,0,0,0,2,23,0,0,55,13,2,0,0,40,0,0,6,15,0,0,0,4,31,65,0,2,10,0,6,0,4
146,8,8,238,45,1,0,0,0,11,0,0,26,13,10,0,0,16,0,0,4,15,1,0,0,18,17,18,0,6,22,0,11,4,0
147,8,9,278,57,2,0,0,2,24,0,0,48,7,2,0,0,26,0,0,1,2,0,0,0,11,49,0,0,3,38,0,3,0,3
148,8,10,310,75,2,0,0,2,10,0,0,23,37,0,0,0,40,0,0,10,9,14,0,0,9,36,0,0,7,19,0,6,5,6
149,8,11,237,36,1,0,0,1,10,0,0,34,5,21,0,0,17,0,0,2,15,6,0,0,17,43,0,0,3,16,0,6,4,0
150,8,12,273,38,4,0,0,0,9,0,0,37,48,7,0,0,21,0,0,6,11,9,0,0,11,25,0,0,2,23,0,8,7,7
151,8,13,329,41,31,0,0,4,5,0,0,57,12,5,0,0,59,0,0,2,12,2,0,0,24,29,24,0,11,0,0,2,4,5
152,8,14,288,45,8,0,0,1,23,0,0,67,14,0,0,0,30,0,0,8,5,2,0,0,4,29,29,0,2,0,0,12,7,2
153,8,15,245,22,0,0,0,2,4,0,0,63,21,0,0,0,32,0,0,3,2,2,0,27,1,34,10,0,0,0,0,9,13,0
154,8,16,335,20,11,0,0,0,14,0,0,60,19,6,0,0,53,0,0,8,4,0,0,24,10,61,15,0,4,0,0,20,6,0
155,8,17,257,28,9,0,0,1,4,0,0,53,10,0,0,0,28,0,0,9,8,3,0,18,6,32,10,0,2,0,0,17,1,18
156,8,18,264,20,3,0,0,2,26,0,0,45,15,1,0,0,45,0,0,3,19,1,0,12,4,18,10,0,6,14,0,2,2,16
157,8,19,258,32,1,0,0,1,7,0,0,21,32,0,0,0,37,0,0,1,8,2,0,42,1,23,17,0,4,24,0,1,1,3
158,8,20,307,48,8,0,0,3,1,0,0,22,25,2,0,0,39,0,0,0,3,0,0,22,11,59,32,0,9,19,0,3,1,0
159,8,21,292,53,7,0,0,2,5,0,0,16,24,4,0,0,19,0,0,13,9,1,0,36,7,7,29,0,10,18,0,30,1,1
160,8,22,239,41,4,0,0,1,14,5,0,15,7,0,0,0,24,0,0,0,18,2,0,17,16,21,22,0,1,13,0,17,1,0
161,8,23,288,28,3,0,0,1,0,4,0,56,8,13,0,0,48,0,0,0,1,0,0,15,1,45,23,0,1,33,0,0,1,7
162,8,24,295,49,20,0,0,1,15,17,0,27,9,2,0,0,31,0,0,4,3,2,0,19,11,37,22,0,5,15,0,0,1,5
163,9,1,225,33,16,0,22,1,3,1,0,42,4,0,0,0,21,0,0,2,7,2,0,10,9,4,19,13,1,0,0,1,3,11
164,9,2,296,33,7,0,22,4,11,0,0,31,31,0,0,0,39,0,0,0,10,1,0,31,5,3,34,16,1,0,11,0,1,5
165,9,3,240,44,2,0,4,0,31,0,0,24,21,0,0,0,19,0,0,0,3,1,0,33,7,9,32,5,3,0,0,0,2,0
166,9,4,314,40,5,0,12,3,11,0,0,40,11,0,0,0,59,0,0,0,16,7,0,27,14,21,29,2,5,0,0,0,10,2
167,9,5,276,50,6,0,5,3,6,0,0,39,22,0,0,0,35,0,0,0,2,5,0,21,3,39,32,2,0,0,0,0,2,4
168,9,6,281,54,12,0,0,1,4,7,0,33,40,0,0,0,9,0,0,0,24,3,0,16,27,21,11,10,0,0,0,0,0,9
